type,summary,product,comp,assignee,status,resolution,updated
,Firefox crashes when browsing website containing bad WebGL shader        ,Core        ,Graphics: CanvasWebG        ,nobody        ,UNCO        ,---        ,2022-03-04    
,firefox does no close TCP connection properly        ,Core        ,Networking        ,nobody        ,UNCO        ,---        ,2022-03-08    
,URL gets automatically extended and page fails to load        ,Firefox        ,Address Bar        ,nobody        ,UNCO        ,---        ,2022-04-07    
,"If I am running a YouTube video and then click the Firefox ""Back"" button it will lock up my PC so that even Ctrl-Alt-Del does not work. I can run the same video on IE or Chrome without any problems.        ",Core        ,Audio/Video: Playbac        ,nobody        ,UNCO        ,---        ,2022-04-27    
,The firefox symbol is missing from icons for html documents        ,Firefox        ,Shell Integration        ,nobody        ,UNCO        ,---        ,2022-05-24    
,firefox on Arch/Sway & MOZ_ENABLE_WAYLAND=1 still selects xwayland        ,Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,2022-03-14    
,kde gestures stopped working after update to firefox 98        ,Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,2022-04-27    
,firefox print to PDF inferior to system dialog print to PDF        ,Core        ,Printing: Output        ,nobody        ,UNCO        ,---        ,2022-10-29    
,Delete history on close doesn't work when shutting down the computer while Firefox is opened        ,Toolkit        ,Data Sanitization        ,nobody        ,UNCO        ,---        ,2022-05-03    
,Firefox snap cannot access user fonts and fontconfig files        ,Firefox Build System        ,Third Party Packagin        ,nobody        ,UNCO        ,---        ,2022-10-10    
,YouTube video freezes Firefox and eventually whole system        ,Core        ,Audio/Video: Playbac        ,nobody        ,UNCO        ,---        ,2022-04-10    
,Firefox decode error crash since last update        ,Core        ,Audio/Video: Playbac        ,nobody        ,UNCO        ,---        ,2022-05-31    
,Notify the user before updating when another instance of Firefox is running        ,Toolkit        ,Application Update        ,nobody        ,UNCO        ,---        ,2022-03-31    
,Firefox glitches for less than a second when un-minimizing a window        ,Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,2022-04-05    
,Firefox will not open the correct program for file type in KDE        ,Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,2022-04-05    
,Firefox Mac V98.0.2 uses high CPU (80% plus) while streaming Hulu.        ,Core        ,Audio/Video        ,nobody        ,UNCO        ,---        ,2022-04-21    
,FirefoxCP Isolated Web Content using all memory on mac        ,Core        ,DOM: Content Process        ,nobody        ,UNCO        ,---        ,2022-09-29    
,Font rendering in new Firefox 99 is horrible!        ,Core        ,Graphics: Text        ,nobody        ,UNCO        ,---        ,Mon 20:13    
,Firefox No Longer Plays Netflix - Netflix Error F7121-1331        ,Core        ,Audio/Video: Playbac        ,nobody        ,UNCO        ,---        ,2022-04-12    
,Firefox window is larger than snap zone when snapping in Windows 11        ,Core        ,Widget: Win32        ,nobody        ,UNCO        ,---        ,2022-10-28    
,Firefox installer can be installed bypassing restricted controls set in domain policies on Windows        ,Firefox        ,Installer        ,nobody        ,UNCO        ,---        ,2022-11-03    
,Poor SWGL performance in Firefox on Linux running in VMWare        ,Core        ,Graphics        ,nobody        ,UNCO        ,---        ,2022-07-25    
,"Firefox crash when click ""Apply and Restart"" button for ""Restart Firefox to apply these changes"" under ""Language""        ",Toolkit        ,Add-ons Manager        ,nobody        ,UNCO        ,---        ,2022-05-16    
,Firefox Accessibility Inspector ignores -webkit-text-stroke-width        ,DevTools        ,Accessibility Tools        ,nobody        ,UNCO        ,---        ,2022-11-03    
,Firefox: Sporadic complete freezes after stopping video playback        ,Core        ,Audio/Video        ,nobody        ,UNCO        ,---        ,2022-05-12    
,Copypasting from/to firefox on LineageOS (Android) does not work        ,GeckoView        ,General        ,nobody        ,UNCO        ,---        ,2022-10-29    
,Firefox 99+100+101+102+103+104+105: No way to use the KDE desktop portal print dialog        ,Core        ,Printing: Output        ,nobody        ,UNCO        ,---        ,2022-10-08    
,[linux] new window context menu hotkey can open in tab        ,Firefox        ,Menus        ,nobody        ,UNCO        ,---        ,2022-05-22    
,Previously opened Firefox window is not focused when opening a link from other applications        ,Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,2022-05-18    
,Firefox crashes opening download list from download panel on Fedora 35.        ,Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,2022-04-27    
,Firefox fails in VNC (not a snap cgroup)        ,Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,2022-07-07    
,Firefox aborts websocket connection if server reports as HTTP/1.0        ,Core        ,Networking: WebSocke        ,nobody        ,UNCO        ,---        ,2022-05-09    
,"firefox takes 80% CPU time due to invisible ""100 Thank-Yous""        ",Core        ,Graphics: WebRender        ,nobody        ,UNCO        ,---        ,2022-10-10    
,"""Save all messages to file"" in Firefox console saves truncated messages        ",DevTools        ,Console        ,nobody        ,UNCO        ,---        ,2022-05-19    
,[Sway] Firefox on Wayland locks-up when randomly clicking extensions and/or menu multiple times        ,Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,2022-10-17    
,"[VMware] Firefox becomes transparent, showing desktop        ",Core        ,Graphics: WebRender        ,nobody        ,UNCO        ,---        ,2022-06-03    
,The entire Firefox window frequently turns completely black until it restarts        ,Core        ,Graphics        ,nobody        ,UNCO        ,---        ,2022-05-26    
,"[sway] When Context Menu Is Too Large, Firefox Crashes        ",Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,2022-06-11    
,firefox esr does not start in  current workspace        ,Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,2022-05-31    
,[Wayland] firefox frozen after startup if one of windows is not visible        ,Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,2022-06-04    
,No hover events and sometimes position of cursor has an offset of where Firefox thinks it is and where it actually is        ,Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,2022-06-24    
,"When Firefox restores the window, it exceeds the current maximum screen size        ",Core        ,Widget: Win32        ,nobody        ,UNCO        ,---        ,2022-10-05    
,[Snap] Firefox crashes because of gdk-pixbuf-loaders.cache        ,Firefox Build System        ,Third Party Packagin        ,nobody        ,UNCO        ,---        ,2022-10-10    
,"Ubuntu: Spamming ctrl+s opens several save widows, that can't be closed other ways than terminating firefox itself..        ",Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,2022-06-23    
,Firefox hangs when connecting to remote desktop with higher resolution        ,Core        ,Window Management        ,nobody        ,UNCO        ,---        ,2022-09-28    
,firefox flatpak taking over 5 minutes to open.        ,Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,2022-10-07    
,Nautilus default opening application over-ridden by firefox        ,Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,2022-06-22    
,When unlocking my Mac the Firefox Windows don't stay on the virtual desktop they were left on        ,Core        ,Widget: Cocoa        ,nobody        ,UNCO        ,---        ,2022-06-28    
,Firefox crashes when 2FA by Yubikey is requested while JavaScript is disabled        ,Core        ,JavaScript Engine: J        ,nobody        ,UNCO        ,---        ,2022-07-13    
,Firefox doesn't support Windows 11 Multiple Desktops properly        ,Core        ,Widget: Win32        ,nobody        ,UNCO        ,---        ,2022-06-28    
,mach should add rustc to PATH automatically during builds        ,Firefox Build System        ,General        ,nobody        ,UNCO        ,---        ,2022-07-12    
,[VAAPI] Sound cut-off in Firefox 101 whilst watching videos on Fedora 36        ,Core        ,Audio/Video: Playbac        ,nobody        ,UNCO        ,---        ,2022-06-30    
,Sound problem on firefox when manually manipulating the timeline        ,Core        ,Audio/Video: Playbac        ,nobody        ,UNCO        ,---        ,2022-07-20    
,As a user of Firefox ReaderMode I would like a keyboard command to skip narrate backward and forward        ,Toolkit        ,Reader Mode        ,nobody        ,UNCO        ,---        ,2022-06-29    
,Maximized Firefox goes over taskbar set to auto hide on windows        ,Core        ,Widget: Win32        ,nobody        ,UNCO        ,---        ,2022-07-28    
,Add links to try documentation        ,Firefox for iOS        ,Third Party Security        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"[macOS] Large* files fail to download (symptomsd RESOURCE_NOTIFY trigger (too many ""dirty bytes"" written))        ",Firefox        ,File Handling        ,nobody        ,UNCO        ,---        ,2022-10-14    
,Firefox 102 plugin widevinecdm crash on play TV eg livetv.skylink.cz        ,Core        ,Audio/Video: GMP        ,nobody        ,UNCO        ,---        ,2022-09-03    
,"[snap] Rendering breaks, becomes unresponsive, only uses 2/3 of the screen, giant black section1        ",Firefox Build System        ,Third Party Packagin        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox GPU process uses excessive amounts of memory        ,Core        ,Graphics        ,nobody        ,UNCO        ,---        ,2022-10-27    
,Windows Installer incorrect version number        ,Firefox        ,Installer        ,nobody        ,UNCO        ,---        ,2022-07-19    
,when using firefox on mac with voiceover you cant edit in adress bar        ,Core        ,Disability Access AP        ,nobody        ,UNCO        ,---        ,2022-07-22    
,When I restart my mac firefox hangs and I need to force quit it.        ,Core        ,Widget: Cocoa        ,nobody        ,UNCO        ,---        ,2022-07-27    
,SW-WR/XFCE/Intel: Firefox window randomly freeze        ,Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,Fri 12:38    
,Encoded Umlauts %C3%BC are passed as decoded umlauts ü in mailto        ,Firefox        ,File Handling        ,nobody        ,UNCO        ,---        ,2022-10-24    
,"The hotkey to ""Seek forward 1 frame when the video is paused"" in YouTube doesn't work on Firefox for me.        ",Core        ,Audio/Video: Playbac        ,nobody        ,UNCO        ,---        ,2022-08-24    
,RDP crash Firefox when Screen shifts from 1440p to 2160p        ,Core        ,Graphics        ,nobody        ,UNCO        ,---        ,2022-09-20    
,"OSX Automatic Refresh (after Cmd+H to hide app, Firefox unhides)        ",Core        ,Widget: Cocoa        ,nobody        ,UNCO        ,---        ,2022-08-15    
,[Minor] Firefox always open in a small window covering the left 1/5 of my screen        ,Core        ,Widget: Win32        ,nobody        ,UNCO        ,---        ,2022-08-11    
,Firefox Crashes When Running a Video Stream (x-mixed-replace & image/jpeg)        ,Core        ,Audio/Video: Playbac        ,nobody        ,UNCO        ,---        ,2022-10-13    
,Slow rendering and opening of certain PDF types        ,Firefox        ,PDF Viewer        ,nobody        ,UNCO        ,---        ,2022-09-02    
,Cannot drag & drop image file from /tmp/ to flatpak Firefox        ,Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,Wed 10:36    
,Firefox Nightly's UI becomes too big on second monitor when run in different window        ,Core        ,Widget: Win32        ,nobody        ,UNCO        ,---        ,2022-09-21    
,Dragging and dropping an image from the firefox snap to an external application doesn't work        ,Firefox Build System        ,Third Party Packagin        ,nobody        ,UNCO        ,---        ,Tue 06:07    
,Firefox on Linux Mint does not use system spell check        ,Core        ,Spelling checker        ,nobody        ,UNCO        ,---        ,2022-08-31    
,"Assertion failure: IsAncestor(aOne, aTwo) || IsAncestor(aTwo, aOne), at firefox-source/obj-build-debug/dist/include/nsDisplayList.h:193        ",Core        ,Web Painting        ,nobody        ,UNCO        ,---        ,2022-09-12    
,login web address saved as another address FireFox 104        ,Toolkit        ,Password Manager        ,nobody        ,UNCO        ,---        ,2022-09-06    
,[Wayland] Mouse hovering broken on Firefox 104        ,Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,Tue 05:29    
,All scrollbars in a page are displayed when page is loaded on Firefox        ,Core        ,Layout: Scrolling an        ,nobody        ,UNCO        ,---        ,2022-09-12    
,Bookmarks Manager Scrolling Issue        ,Firefox        ,Bookmarks & History        ,nobody        ,UNCO        ,---        ,2022-10-18    
,Firefox hangs on certain pages that load videos        ,Core        ,Audio/Video: Playbac        ,nobody        ,UNCO        ,---        ,2022-09-22    
,Firefox WebAudioApi context cannot decode certain aac files (working fine using other browsers)        ,Core        ,Web Audio        ,nobody        ,UNCO        ,---        ,2022-09-14    
,Cannot search some words in the address bar / search bar        ,Firefox        ,Address Bar        ,nobody        ,UNCO        ,---        ,2022-10-11    
,[Firefox View] extension icons flicker when using View        ,Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,2022-10-25    
,PC AT keys namly -> (Vol mute/Vol - /Vol +) are connected internally to firefox not just the OS for windows client.        ,Core        ,Widget: Win32        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox Snap unable to run under X11 environment (Ubuntu/LXDE 22.04)        ,Firefox Build System        ,Third Party Packagin        ,nobody        ,UNCO        ,---        ,2022-11-03    
,"Firefox not rendering 120 FPS on Macbook Pro 14""        ",Core        ,Graphics        ,nobody        ,UNCO        ,---        ,2022-10-24    
,Firefox snap fails to upgrade        ,Firefox Build System        ,Third Party Packagin        ,nobody        ,UNCO        ,---        ,2022-10-20    
,Firefox crashes intermittently erasing all password cookies.        ,Core        ,Networking: Cookies        ,nobody        ,UNCO        ,---        ,2022-10-14    
,Dotnet blazor webassembly debugging with Visual studio 2022 isnt supported in Firefox        ,Core        ,JavaScript: WebAssem        ,nobody        ,UNCO        ,---        ,2022-10-17    
,"[sway][nvidia] Firefox randomly (and unfrequently) closes with ""Exiting due to channel error""        ",Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,2022-11-02    
,Firefox on MacOs full screen shows save window overlapped        ,Core        ,Widget: Cocoa        ,nobody        ,UNCO        ,---        ,2022-10-20    
,PDF fails to display in Firefox tab        ,Firefox        ,PDF Viewer        ,nobody        ,UNCO        ,---        ,Mon 04:39    
,106.x crashes while in sandboxie-classic (while having youtube video open and opening new youtube tab aside) mozglue.dll firefox.exe xul.dll        ,Core        ,Audio/Video: Playbac        ,nobody        ,UNCO        ,---        ,Mon 06:58    
,Allow extensions to add content to Firefox View or the New Tab page        ,Firefox        ,Firefox View        ,nobody        ,UNCO        ,---        ,2022-10-26    
,Firefox 106 not changing audio output device        ,Core        ,Audio/Video: Playbac        ,nobody        ,UNCO        ,---        ,Wed 10:32    
,Firefox freezes when edit menu in PDF print dialog using the system dialog… on mac        ,Core        ,Widget: Cocoa        ,nobody        ,UNCO        ,---        ,2022-10-28    
,Firefox background auto update without profile        ,Toolkit        ,Application Update        ,nobody        ,UNCO        ,---        ,2022-10-24    
,"Firefox window cannot be resized, an attempt at resizing results in a black area (Ubuntu 22.04.01, wayland)        ",Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,2022-11-01    
,When Firefox is opened it causes Windows Explorer to stop responding        ,Core        ,Widget: Win32        ,nobody        ,UNCO        ,---        ,2022-11-03    
,Firefox hang with seccomp enabled on OpenShift        ,Core        ,Security: Process Sa        ,nobody        ,UNCO        ,---        ,2022-11-03    
,"In the newest ubuntu 22.10 release, Firefox snap occasionally doesn't open and stuck at black screen after the first boot.        ",Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,06:45:29    
,"Firefox View says ""check your internet connection"" even with working connection        ",Firefox        ,Firefox View        ,nobody        ,UNCO        ,---        ,Fri 02:38    
,"Firefox likes to enter ""laggy mode"" where suddenly it has UI freezes and reacts to everything only after seconds        ",Core        ,Graphics: WebRender        ,nobody        ,UNCO        ,---        ,2022-11-03    
,"The loading page animation was shown when starting Firefox 108.0a1 20221102094537 even though Homepage and new windows, and new tabs were set to blank page        ",Firefox        ,Toolbars and Customi        ,nobody        ,UNCO        ,---        ,Mon 08:43    
,White border appearing in Firefox Nightly        ,Core        ,Graphics        ,nobody        ,UNCO        ,---        ,Fri 09:02    
,Firefox 106 Snap No Longer Can Open Magnet Links in Tixati        ,Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,2022-11-04    
,"KeyError: 'HG' doing ""./mach build"" for artifact build on Ubuntu 20.04 using Python 3.11.0        ",Firefox Build System        ,Mach Core        ,nobody        ,UNCO        ,---        ,Fri 03:32    
,Bringing firefox to the foreground when another application has focus results in a short freeze        ,Core        ,Widget: Cocoa        ,nobody        ,UNCO        ,---        ,Wed 08:44    
,Firefox needlessly modifies logins.json/logins-backup.json files        ,Toolkit        ,Password Manager        ,sgalich        ,UNCO        ,---        ,2022-05-24    
,does not kill firefox process (when running from command prompt) after trying to load a incorrect (path) xul file        ,Toolkit        ,Startup and Profile         ,nobody        ,UNCO        ,---        ,2022-10-10    
,start up option 'show my windows and tabs from last time' combined with homepage        ,Firefox        ,Settings UI        ,nobody        ,UNCO        ,---        ,2022-10-10    
,Cmd-W does not work when only one tab is open.        ,Firefox        ,General        ,nobody        ,UNCO        ,---        ,2022-10-10    
,Firefox doesn't maximize properly        ,Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,2022-10-10    
,New Tab and Auto Pinned sites Image is not rendering properly and  same websites  getting Auto Pinned repeatedly        ,Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-10    
,Download Manager Tweak add-on empty even when there are files being downloaded.        ,Firefox        ,Downloads Panel        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"A separate content process should be used for each pdf.js tab, or perhaps shared between all pdf.js tabs        ",Firefox        ,PDF Viewer        ,nobody        ,UNCO        ,---        ,2022-10-11    
,The fonts of Firefox are blurry on DELL AIO 9020        ,Core        ,Graphics: Text        ,nobody        ,UNCO        ,---        ,2021-09-27    
,Firefox doesn't consistently display nVidia's nView Options when right-clicking the top edge of the browser window.        ,Core        ,Widget: Win32        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Sync cannot handle more than one folder in the menubar        ,Firefox        ,Sync        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Sync to custom server fails on Linux        ,Firefox        ,Sync        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"Special bookmarks folders are not merged, when using sync with different languages        ",Firefox        ,Sync        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Password Manager does not works with captive portal        ,Firefox        ,Security        ,nobody        ,UNCO        ,---        ,2022-10-10    
,Firefox Sync fails behind Proxy-servers/Proxy-authencation        ,Firefox        ,Sync        ,nobody        ,UNCO        ,---        ,2022-10-17    
,Show-source (Ctrl+U) on W3C XML Schema page hangs Firefox in 100% CPU loop        ,Toolkit        ,View Source        ,nobody        ,UNCO        ,---        ,2022-10-11    
,firefox needs to adhere to x11 window geometry settings        ,Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,2022-10-10    
,"detect URLs better for ""Open Link""        ",Firefox        ,Menus        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Bookmarks toolbar item height is greater than other buttons height        ,Firefox        ,Theme        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"Firefox crashes on fresh L4T 24.2, Ubuntu 16.04 LTS / aarch64        ",Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,2022-10-10    
,Firefox Windows has fixed-point audio path        ,Core        ,Audio/Video: cubeb        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox icon in window header is grainy        ,Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,2022-10-11    
,No more audio in Firefox in Linux Debian even with pulseaudio installed        ,Core        ,Audio/Video: cubeb        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Downgrade firefox to older version still update to newer on restart        ,Toolkit        ,Application Update        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Noticeable delay of button style change when clicking a button to hide the dropdown        ,Firefox        ,Toolbars and Customi        ,nobody        ,UNCO        ,---        ,2022-10-10    
,Firefox versions 54+ don't display checkboxes or radio buttons        ,Core        ,Layout: Form Control        ,nobody        ,UNCO        ,---        ,2022-10-11    
,[Photon] Inconsistent appearance of checkbox type items in overflow menu        ,Firefox        ,Theme        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox developer edition occasionally does not restore previous session        ,Firefox        ,Session Restore        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"stylo: compile with --enable-stylo , force-cargo-libray-build module always error on linux        ",Firefox Build System        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,"""Clear All History"" prompt doesn't seem to align with the new Photon UI.        ",Firefox        ,Settings UI        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Glitch on tab loading animation        ,Firefox        ,Theme        ,nobody        ,UNCO        ,---        ,2022-10-10    
,Colored Title Bar and Buttons are grey/white        ,Firefox        ,Theme        ,nobody        ,UNCO        ,---        ,2022-10-11    
,configure fails in virtualenv creation        ,Firefox Build System        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox fails to load large session store        ,Firefox        ,Session Restore        ,nobody        ,UNCO        ,---        ,2022-10-17    
,firefox freezes/lockups in the location bar and experiences graphical glitches if layers.acceleration.force-enabled is set to true        ,Core        ,Graphics        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Restore Previous Session Button should still be Enabled when Restoration of Session is Default Behaviour on Launch        ,Firefox        ,Session Restore        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Add feature to restore session on a case by case basis        ,Firefox        ,Session Restore        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Tabs randomly disappear        ,Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox reset duplex property        ,Core        ,Printing: Setup        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox 69 will NOT print Barcodes with font 3of9        ,Core        ,Layout: Text and Fon        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Closing Tab Sometimes Results in Swap to Tab 0        ,Firefox for iOS        ,General        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Nach Starten des Befehls Drucke wird keine Druckvorschau angezeigt und ich muss Firefox beenden        ,Core        ,Print Preview        ,nobody        ,UNCO        ,---        ,2022-10-11    
,State for XenForo threads not preserved properly. Used to work.        ,Firefox for iOS        ,Browser        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox for iOS last sync on 2/19        ,Firefox for iOS        ,Sync        ,nobody        ,UNCO        ,---        ,2022-10-11    
,Firefox Sync clears most bookmark folders        ,Firefox        ,Sync        ,nobody        ,UNCO        ,---        ,2022-10-11    
,[Protections Panel] Unreachable code in updateSubView under ThirdPartyCookies in browser site protectio        ,Firefox        ,Site Identity        ,nobody        ,UNCO        ,---        ,2022-06-07    
,mach build langpack-XY overwrites obj/browser/locales/bookmarks.html        ,Firefox Build System        ,Mach Core        ,nobody        ,UNCO        ,---        ,2020-12-02    
,Don't hide pref browser.pagethumbnails.capturing_disabled        ,Firefox        ,New Tab Page        ,nobody        ,UNCO        ,---        ,2021-04-26    
,Loading a PKCS#11 module from an alternate location after unloading requires a firefox restart        ,NSS        ,Libraries        ,nobody        ,UNCO        ,---        ,2021-02-06    
,Firefox webrtc ICE: Firefox will report error when there's a domain address in SDP's c line        ,Core        ,WebRTC: Networking        ,nobody        ,UNCO        ,---        ,2021-06-29    
,Website not loading on Firefox Android Smartphone        ,Core        ,Graphics        ,nobody        ,UNCO        ,---        ,2021-09-13    
,Firefox 91.0 Will Not Let Me Use Unicode Text Encoding        ,Core        ,Internationalization        ,nobody        ,UNCO        ,---        ,2021-08-26    
,Can't see my printer with firefox 101 on Ubuntu 22.04 (snap)        ,Firefox Build System        ,Third Party Packagin        ,nobody        ,UNCO        ,---        ,2022-10-10    
,"When downloading a file or saving a web page, put source URL into ""Notes"" (Gnome) or ""Summary"" (Windows) of the saved files.        ",Firefox        ,File Handling        ,nobody        ,UNCO        ,---        ,2022-10-10    
,Using setTimeout workaround for select() in onBlur event causes bizarre behaviour if Firefox loses and regains focus        ,Core        ,DOM: Events        ,nobody        ,UNCO        ,---        ,2020-12-14    
,Sporadic and random line breaks appearing when in text editors within firefox page        ,Core        ,DOM: Editor        ,nobody        ,UNCO        ,---        ,2020-12-16    
,Multiple iframes where HTML is written in JavaScript causes error in Firefox 1.5        ,Core        ,DOM: Core & HTML        ,nobody        ,UNCO        ,---        ,2022-10-10    
,firefox glitch with some special 'drawing' i use        ,Core        ,DOM: Core & HTML        ,nobody        ,UNCO        ,---        ,2022-10-10    
,"iframe ""onload"" does not work (firefox 1.5)        ",Core        ,DOM: Editor        ,nobody        ,UNCO        ,---        ,2020-12-14    
,Firefox can't find object in a div container when it is loaded the second time via Ajax.        ,Core        ,DOM: Core & HTML        ,nobody        ,UNCO        ,---        ,2022-10-10    
,In designMode firefox replaces newlines with <br> tags in <pre> elements        ,Core        ,DOM: Editor        ,nobody        ,UNCO        ,---        ,2020-12-14    
,Firefox and tidy add line breaks within code blocks        ,Core        ,DOM: Editor        ,nobody        ,UNCO        ,---        ,2020-12-14    
,Firefox does not support run-time javascript file handling.        ,Core        ,DOM: Core & HTML        ,nobody        ,UNCO        ,---        ,2022-10-10    
,"Firefox can't resolve that page, even when networking.enableIDN is set to false        ",Core        ,Networking        ,nobody        ,UNCO        ,---        ,2020-12-14    
,firefox performs badly on multi-headed desktops (dual monitor xterm)        ,Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,2022-10-10    
,PNG images fail to display if --with-system-png is set        ,Firefox Build System        ,General        ,nobody        ,UNCO        ,---        ,2022-10-10    
,Firefox changes registry such that hyperlinks can't be opened from Outlook 2007 messages.        ,Firefox        ,Installer        ,nobody        ,UNCO        ,---        ,2022-10-10    
,Dragging image out of x64 Firefox window transposes 1px from left to right of image        ,Core        ,DOM: Copy & Paste an        ,nobody        ,UNCO        ,---        ,2020-12-16    
,"Firefox 3 loses focus on WordPress 2.5.1 Post text box, typing apostrophe launches Quick Find.        ",Core        ,DOM: Editor        ,nobody        ,UNCO        ,---        ,2020-12-14    
,"When reloading after a 303 redirect, Firefox makes another POST request        ",Core        ,Networking: HTTP        ,nobody        ,UNCO        ,---        ,2020-12-14    
,Tabs and checkboxes in Firefox 3 look glitchy        ,Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,2022-10-10    
,Being able to remember better the last folders selected for bookmarking        ,Firefox        ,Bookmarks & History        ,nobody        ,UNCO        ,---        ,2022-10-10    
,Firefox windows pop up and steal focus against window manager's focus stealing setting in session restore        ,Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,2022-10-10    
,DNS resolution fails when using a socksified Firefox        ,Core        ,Networking        ,nobody        ,UNCO        ,---        ,2020-12-14    
,Firefox does not understand and inform the user when PKCS#11 token PIN is invalid or blocked.        ,Core        ,Security: PSM        ,nobody        ,UNCO        ,---        ,2022-10-10    
,provide folder search within bookmarks according to matching characters        ,Firefox        ,Bookmarks & History        ,nobody        ,UNCO        ,---        ,2022-10-10    
,Firefox uses sounds and I cannot disable this        ,Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,2022-10-10    
,"If download manager pops-up while repositioning a tab, Firefox locks up        ",Core        ,DOM: Copy & Paste an        ,nobody        ,UNCO        ,---        ,2020-12-14    
,Right click different behavior        ,Firefox        ,Keyboard Navigation        ,nobody        ,UNCO        ,---        ,2022-10-10    
,"Firefox throws Exception for the insertorderedlist command if <div contenteditable=""true""> is within a table!        ",Core        ,DOM: Editor        ,nobody        ,UNCO        ,---        ,2020-12-16    
,"White scrollbars shows in some divs with Xfce-curve, focus on other window and focus firefox makes it disapear        ",Core        ,Widget: Gtk        ,nobody        ,UNCO        ,---        ,2022-10-10    
,"Firefox only combines with pinned taskbar icon if taskbar icon is named ""Mozilla Firefox""        ",Firefox        ,General        ,nobody        ,UNCO        ,---        ,2022-10-10    
,Firefox does not show full view of an element        ,Core        ,DOM: Core & HTML        ,nobody        ,UNCO        ,---        ,2022-10-10    
,"When maximized with tabs in titlebar are filled, win7 Aero is broken -> no easy drag of titlebar, just some small places you have to hit        ",Firefox        ,Theme        ,nobody        ,UNCO        ,---        ,2022-10-10    
,Put a 'switch to tab' menu on existing links        ,Firefox        ,Menus        ,nobody        ,UNCO        ,---        ,2022-10-10    
,"Status bar causes flicker with ""popup"" elements        ",Firefox        ,Tabbed Browser        ,nobody        ,UNCO        ,---        ,2020-08-04    
,firefox file://... opens the wrong file when there's a firefox running on a different machine        ,Core        ,Networking: File        ,nobody        ,UNCO        ,---        ,2022-10-24    
,Why will Kerberos enabled SSRS instances not load in Firefox        ,Core        ,Networking        ,nobody        ,UNCO        ,---        ,2022-10-10    
